time-date stamp,Date,"ERCOT Load, MW","Total Wind Output, MW","Total Wind Installed, MW","Wind Output, % of Load","Wind Output, % of Installed",1-hr MW change,1-hr % change
01/03/2018 18:00:00,Jan-03,48269,712,21412,1.5,3.3,-320.1,-31.01831323
01/03/2018 19:00:00,Jan-03,50150,732,21412,1.5,3.4,20.4,2.862790149
01/03/2018 20:00:00,Jan-03,51069,1036,21412,2.0,4.8,303.4,41.43413335
01/03/2018 21:00:00,Jan-03,51372,1927,21412,3.8,9.0,891.1,86.03804281
01/03/2018 22:00:00,Jan-03,50281,3078,21412,6.1,14.4,1151.4,59.75634649
01/03/2018 23:00:00,Jan-03,48756,3474,21412,7.1,16.2,395.6,12.85118199
01/04/2018 00:00:00,Jan-04,47676,3688,21412,7.7,17.2,214.3,6.169407729
01/04/2018 01:00:00,Jan-04,47300,3826,21412,8.1,17.9,137.8,3.735589595
01/04/2018 02:00:00,Jan-04,47178,4150,21412,8.8,19.4,324.4,8.47897514
01/04/2018 03:00:00,Jan-04,47883,4241,21412,8.9,19.8,91.1,2.194815896
01/04/2018 04:00:00,Jan-04,48728,4321,21412,8.9,20.2,79.4,1.871411907
01/04/2018 05:00:00,Jan-04,50722,4801,21412,9.5,22.4,479.8,11.10408466
01/04/2018 06:00:00,Jan-04,53948,5360,21412,9.9,25.0,558.9,11.64228096
01/04/2018 07:00:00,Jan-04,57074,6185,21412,10.8,28.9,825.0,15.39343855
01/04/2018 08:00:00,Jan-04,56709,6647,21412,11.7,31.0,462.5,7.478310026
01/04/2018 09:00:00,Jan-04,54020,6620,21412,12.3,30.9,-26.8,-0.402528665
01/04/2018 10:00:00,Jan-04,50753,4354,21412,8.6,20.3,-2266.6,-34.23632369
01/04/2018 11:00:00,Jan-04,47528,5406,21412,11.4,25.2,1052.6,24.17792006
01/04/2018 12:00:00,Jan-04,45069,6765,21412,15.0,31.6,1358.2,25.12248785
01/04/2018 13:00:00,Jan-04,42886,6045,21412,14.1,28.2,-719.7,-10.63971862
01/04/2018 14:00:00,Jan-04,41219,4785,21412,11.6,22.3,-1259.9,-20.84170339
01/04/2018 15:00:00,Jan-04,40132,4276,21412,10.7,20.0,-508.9,-10.6354222
01/04/2018 16:00:00,Jan-04,40629,4291,21412,10.6,20.0,14.9,0.349540115
01/04/2018 17:00:00,Jan-04,41829,4041,21412,9.7,18.9,-249.9,-5.823897676
01/04/2018 18:00:00,Jan-04,45599,5039,21412,11.1,23.5,997.7,24.68857185
01/04/2018 19:00:00,Jan-04,46540,6510,21412,14.0,30.4,1470.7,29.18807292
01/04/2018 20:00:00,Jan-04,46781,7371,21412,15.8,34.4,861.1,13.2283015
01/04/2018 21:00:00,Jan-04,46461,7980,21412,17.2,37.3,609.0,8.262453477
01/04/2018 22:00:00,Jan-04,44797,6950,21412,15.5,32.5,-1029.6,-12.90222959
01/04/2018 23:00:00,Jan-04,42559,6298,21412,14.8,29.4,-652.2,-9.384012341
01/05/2018 00:00:00,Jan-05,41045,6060,21428,14.8,28.3,-238.3,-3.783726118
01/05/2018 01:00:00,Jan-05,40294,5883,21428,14.6,27.5,-176.3,-2.908695135
01/05/2018 02:00:00,Jan-05,39969,5865,21428,14.7,27.4,-18.5,-0.313679821
01/05/2018 03:00:00,Jan-05,40274,5534,21428,13.7,25.8,-331.4,-5.650724605
01/05/2018 04:00:00,Jan-05,41018,5926,21428,14.4,27.7,392.7,7.096693639
01/05/2018 05:00:00,Jan-05,42600,5879,21428,13.8,27.4,-47.3,-0.797424591
01/05/2018 06:00:00,Jan-05,45610,5839,21428,12.8,27.3,-39.7,-0.676045609
01/05/2018 07:00:00,Jan-05,48754,5768,21428,11.8,26.9,-71.3,-1.220284666
01/05/2018 08:00:00,Jan-05,48869,5213,21428,10.7,24.3,-555.2,-9.625419332
01/05/2018 09:00:00,Jan-05,47442,3549,21428,7.5,16.6,-1663.5,-31.91156804
01/05/2018 10:00:00,Jan-05,45635,2077,21428,4.6,9.7,-1472.4,-41.48507381
01/05/2018 11:00:00,Jan-05,43534,1965,21428,4.5,9.2,-111.6,-5.373007951
01/05/2018 12:00:00,Jan-05,41416,1425,21428,3.4,6.6,-540.7,-27.51238461
01/05/2018 13:00:00,Jan-05,39459,1034,21428,2.6,4.8,-391.0,-27.44355358
01/05/2018 14:00:00,Jan-05,38177,922,21428,2.4,4.3,-111.8,-10.81387403
01/05/2018 15:00:00,Jan-05,36942,1119,21428,3.0,5.2,197.5,21.4210794
01/05/2018 16:00:00,Jan-05,36547,1234,21428,3.4,5.8,114.4,10.22431704
01/05/2018 17:00:00,Jan-05,37008,1156,21428,3.1,5.4,-77.4,-6.274614642
01/05/2018 18:00:00,Jan-05,40017,1188,21428,3.0,5.5,32.0,2.764221806
01/05/2018 19:00:00,Jan-05,40975,2303,21428,5.6,10.7,1114.9,93.82282955
01/05/2018 20:00:00,Jan-05,41300,3570,21428,8.6,16.7,1266.3,54.98082425
01/05/2018 21:00:00,Jan-05,41294,4635,21428,11.2,21.6,1065.0,29.83472369
01/05/2018 22:00:00,Jan-05,40828,5885,21428,14.4,27.5,1250.7,26.9870942
01/05/2018 23:00:00,Jan-05,39595,6443,21428,16.3,30.1,557.4,9.471393983
01/06/2018 00:00:00,Jan-06,38328,6656,21428,17.4,31.1,213.5,3.313749106
01/06/2018 01:00:00,Jan-06,37610,6914,21428,18.4,32.3,258.3,3.879974199
01/06/2018 02:00:00,Jan-06,37344,7022,21428,18.8,32.8,108.0,1.562293664
01/06/2018 03:00:00,Jan-06,37534,6495,21428,17.3,30.3,-527.7,-7.514454685
01/06/2018 04:00:00,Jan-06,38157,5385,21428,14.1,25.1,-1109.8,-17.08807081
01/06/2018 05:00:00,Jan-06,39218,4160,21428,10.6,19.4,-1224.6,-22.74108588
01/06/2018 06:00:00,Jan-06,40674,4295,21428,10.6,20.0,134.8,3.241015517
01/06/2018 07:00:00,Jan-06,42527,4195,21428,9.9,19.6,-100.5,-2.340604229
01/06/2018 08:00:00,Jan-06,43489,4602,21428,10.6,21.5,407.4,9.712850265
01/06/2018 09:00:00,Jan-06,43068,4025,21428,9.3,18.8,-577.0,-12.53705026
01/06/2018 10:00:00,Jan-06,41725,2204,21428,5.3,10.3,-1820.6,-45.23219717
01/06/2018 11:00:00,Jan-06,39894,2368,21428,5.9,11.0,163.2,7.402712495
01/06/2018 12:00:00,Jan-06,37969,3142,21428,8.3,14.7,774.2,32.69834706
01/06/2018 13:00:00,Jan-06,36177,4919,21428,13.6,23.0,1777.2,56.56656761
01/06/2018 14:00:00,Jan-06,35041,6460,21428,18.4,30.1,1541.1,31.32948305
01/06/2018 15:00:00,Jan-06,34166,8184,21428,24.0,38.2,1723.7,26.6814059
01/06/2018 16:00:00,Jan-06,34064,10173,21428,29.9,47.5,1989.5,24.31038068
01/06/2018 17:00:00,Jan-06,34648,10641,21428,30.7,49.7,467.3,4.593075326
01/06/2018 18:00:00,Jan-06,37271,11445,21428,30.7,53.4,804.5,7.561039518
01/06/2018 19:00:00,Jan-06,37920,13886,21428,36.6,64.8,2440.9,21.32720448
01/06/2018 20:00:00,Jan-06,37624,15186,21428,40.4,70.9,1300.3,9.363772151
01/06/2018 21:00:00,Jan-06,37359,15715,21428,42.1,73.3,528.5,3.480251701
01/06/2018 22:00:00,Jan-06,36503,15851,21428,43.4,74.0,136.3,0.867135341
01/06/2018 23:00:00,Jan-06,35146,15645,21428,44.5,73.0,-206.3,-1.30126364
01/07/2018 00:00:00,Jan-07,33700,14843,21428,44.0,69.3,-801.5,-5.123164597
01/07/2018 01:00:00,Jan-07,32559,14681,21428,45.1,68.5,-162.4,-1.094170651
01/07/2018 02:00:00,Jan-07,31897,14700,21428,46.1,68.6,19.1,0.129951248
01/07/2018 03:00:00,Jan-07,31587,14629,21428,46.3,68.3,-71.3,-0.484990699
01/07/2018 04:00:00,Jan-07,31541,14645,21428,46.4,68.3,16.3,0.111356173
01/07/2018 05:00:00,Jan-07,31926,14675,21428,46.0,68.5,29.7,0.202660053
01/07/2018 06:00:00,Jan-07,32642,14740,21428,45.2,68.8,65.4,0.445493405
01/07/2018 07:00:00,Jan-07,33860,15142,21428,44.7,70.7,401.6,2.724574824
01/07/2018 08:00:00,Jan-07,34605,15255,21428,44.1,71.2,113.7,0.750739014
01/07/2018 09:00:00,Jan-07,35998,14942,21428,41.5,69.7,-313.4,-2.054524126
01/07/2018 10:00:00,Jan-07,36402,13942,21428,38.3,65.1,-1000.4,-6.695414166
01/07/2018 11:00:00,Jan-07,36186,13580,21428,37.5,63.4,-361.8,-2.594770015
01/07/2018 12:00:00,Jan-07,36079,13348,21428,37.0,62.3,-231.8,-1.706615852
01/07/2018 13:00:00,Jan-07,35877,12997,21428,36.2,60.7,-350.8,-2.627734503
01/07/2018 14:00:00,Jan-07,35649,13031,21428,36.6,60.8,33.3,0.256453777
01/07/2018 15:00:00,Jan-07,35332,12558,21428,35.5,58.6,-472.2,-3.623676897
01/07/2018 16:00:00,Jan-07,35459,14254,21428,40.2,66.5,1695.7,13.50281143
01/07/2018 17:00:00,Jan-07,36068,14101,21428,39.1,65.8,-152.9,-1.07235601
01/07/2018 18:00:00,Jan-07,37858,12170,21428,32.1,56.8,-1931.1,-13.69462957
01/07/2018 19:00:00,Jan-07,38162,11060,21428,29.0,51.6,-1110.0,-9.121005004
01/07/2018 20:00:00,Jan-07,37496,9602,21428,25.6,44.8,-1457.7,-13.18008691
01/07/2018 21:00:00,Jan-07,36646,9541,21428,26.0,44.5,-61.6,-0.641216654
01/07/2018 22:00:00,Jan-07,35078,9886,21428,28.2,46.1,345.2,3.617651093
01/07/2018 23:00:00,Jan-07,33036,9264,21428,28.0,43.2,-622.3,-6.294910196
01/08/2018 00:00:00,Jan-08,31300,7374,21428,23.6,34.4,-1889.6,-20.39768995
01/08/2018 01:00:00,Jan-08,30450,6854,21428,22.5,32.0,-520.2,-7.054625222
01/08/2018 02:00:00,Jan-08,30155,6486,21428,21.5,30.3,-367.5,-5.361906115
01/08/2018 03:00:00,Jan-08,30348,7153,21428,23.6,33.4,667.1,10.2846601
01/08/2018 04:00:00,Jan-08,31181,7526,21428,24.1,35.1,372.3,5.204762671
01/08/2018 05:00:00,Jan-08,33207,7321,21428,22.0,34.2,-205.3,-2.727584686
01/08/2018 06:00:00,Jan-08,36837,6871,21428,18.7,32.1,-450.0,-6.147453508
01/08/2018 07:00:00,Jan-08,40785,6945,21428,17.0,32.4,74.0,1.077364897
01/08/2018 08:00:00,Jan-08,40860,5908,21428,14.5,27.6,-1036.4,-14.92464672
01/08/2018 09:00:00,Jan-08,40050,4173,21428,10.4,19.5,-1735.0,-29.36637685
01/08/2018 10:00:00,Jan-08,39394,3337,21428,8.5,15.6,-836.4,-20.04226057
01/08/2018 11:00:00,Jan-08,38688,3300,21428,8.5,15.4,-36.6,-1.096758965
01/08/2018 12:00:00,Jan-08,37752,3014,21428,8.0,14.1,-286.4,-8.678985909
01/08/2018 13:00:00,Jan-08,36971,3022,21428,8.2,14.1,8.7,0.287132682
01/08/2018 14:00:00,Jan-08,36298,3290,21428,9.1,15.4,267.6,8.85353546
01/08/2018 15:00:00,Jan-08,35803,3310,21428,9.2,15.4,19.6,0.596686216
01/08/2018 16:00:00,Jan-08,35587,3231,21428,9.1,15.1,-78.4,-2.368036469
01/08/2018 17:00:00,Jan-08,36003,3267,21428,9.1,15.2,36.1,1.118157417
01/08/2018 18:00:00,Jan-08,38847,3833,21428,9.9,17.9,565.7,17.31374995
01/08/2018 19:00:00,Jan-08,39994,4886,21428,12.2,22.8,1053.2,27.47816236
01/08/2018 20:00:00,Jan-08,39908,5424,21428,13.6,25.3,537.6,11.00137992
01/08/2018 21:00:00,Jan-08,39477,6750,21428,17.1,31.5,1326.1,24.44938323
01/08/2018 22:00:00,Jan-08,37841,7374,21428,19.5,34.4,624.3,9.248533421
01/08/2018 23:00:00,Jan-08,36075,7891,21428,21.9,36.8,516.7,7.006796365
01/09/2018 00:00:00,Jan-09,34686,8159,21428,23.5,38.1,268.4,3.401955889
01/09/2018 01:00:00,Jan-09,33797,8800,21428,26.0,41.1,640.6,7.851211058
01/09/2018 02:00:00,Jan-09,33758,9620,21428,28.5,44.9,820.4,9.323291383
01/09/2018 03:00:00,Jan-09,34499,11082,21428,32.1,51.7,1461.9,15.19602812
01/09/2018 04:00:00,Jan-09,35479,11651,21428,32.8,54.4,568.8,5.132775351
01/09/2018 05:00:00,Jan-09,37528,12165,21428,32.4,56.8,514.2,4.413017894
01/09/2018 06:00:00,Jan-09,41463,12037,21428,29.0,56.2,-127.9,-1.051499877
01/09/2018 07:00:00,Jan-09,45778,12315,21428,26.9,57.5,277.8,2.307617109
01/09/2018 08:00:00,Jan-09,45243,12294,21428,27.2,57.4,-21.1,-0.171663637
01/09/2018 09:00:00,Jan-09,43967,10930,21428,24.9,51.0,-1364.2,-11.09652349
01/09/2018 10:00:00,Jan-09,42563,8316,21428,19.5,38.8,-2613.7,-23.91387792
01/09/2018 11:00:00,Jan-09,41306,7548,21428,18.3,35.2,-768.4,-9.240375713
01/09/2018 12:00:00,Jan-09,40000,7417,21428,18.5,34.6,-130.6,-1.729894415
01/09/2018 13:00:00,Jan-09,38904,7301,21428,18.8,34.1,-116.0,-1.563857172
01/09/2018 14:00:00,Jan-09,37862,7318,21428,19.3,34.2,17.3,0.237443941
01/09/2018 15:00:00,Jan-09,37366,7522,21428,20.1,35.1,203.3,2.778533563
01/09/2018 16:00:00,Jan-09,37404,7766,21428,20.8,36.2,244.4,3.248978304
01/09/2018 17:00:00,Jan-09,38054,7588,21428,19.9,35.4,-177.7,-2.288151072
